name,author,narrator,time,releasedate,language,stars,price,ratings
Adventure Time - Too Many Bananas & Other Stories,"RohiniNilekani,ReshmaThapa-Gurung,LavinaMahbubani","AvinashRamachander,BrianChristopher,SeetalIyer",29,2021-06-16,English,0.0,422.0,0.0
Blue Moon,JamesPonti,ElizabethKlett,419,2021-05-18,English,0.0,586.0,0.0
The Last Kids on Earth: June's Wild Flight,"MaxBrallier,DouglasHolgate",MontseHernandez,196,2020-07-04,English,5.0,754.0,3.0
Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,DavPilkey,"LenForgione,WinstonBromhead,I'keMitchell",159,2021-02-04,English,5.0,492.0,5.0
Mermaids of the Deep Blue Sea,GertrudeChandlerWarner,AimeeLilly,104,2021-01-09,English,0.0,234.0,0.0
Flying Ninja!,AnhDo,ChristopherGebauer,56,2021-05-18,English,0.0,164.0,0.0
Fortress of the Stone Dragon,TraceyWest,EmilyEllet,49,2021-04-05,English,0.0,164.0,0.0
Zoey and Sassafras: The Pod and the Bog,AsiaCitro,JaninaEdwards,65,2021-04-13,English,0.0,468.0,0.0
PJ Masks - Héroes en Pijamas - ¡Los lobeznos!,"eOne,NicolásOluchaSánchez-traductor",KevinCalderón,10,2022-01-24,spanish,0.0,38.0,0.0
PJ Masks - Potència PJ!,"eOne,AnaC.AlcainaPerez-traductor",RogerSerradell,33,2022-01-24,catalan,0.0,38.0,0.0
PJ Masks - Preparats per a l’acció!,"eOne,AnaC.AlcainaPerez-traductor",RogerSerradell,12,2022-01-24,catalan,0.0,38.0,0.0
"Mortel un jour, Mortel toujours!",MrTan,DorothéePousseo,65,2022-01-25,french,0.0,529.0,0.0
Pyjamasankarit - 3 minuutin iltasatuja,"eOne,KimmoLilja",ValtteriLehtinen,36,2022-01-21,finnish,0.0,32.0,0.0
PJ Masks - Vet aquí en Robot PJ!,"eOne,AnaC.AlcainaPerez-traductor",RogerSerradell,9,2022-01-24,catalan,0.0,38.0,0.0
PJ Masks - PJ Robot,"eOne,NicolásOluchaSánchez-traductor",RogerSerradell,9,2022-01-24,spanish,0.0,38.0,0.0
Le géant de pierre,BertrandFichou,ClotildeDonna,7,2022-01-25,french,0.0,189.0,0.0
Pyjamasankarit - Nousu taikavuorelle,"eOne,KimmoLilja",ValtteriLehtinen,11,2022-01-21,finnish,0.0,32.0,0.0
PJ Masks - Héroes en Pijamas - Catboy y el gran rescate de la torta de cumpleaños,"eOne,NicolásOluchaSánchez-traductor",KevinCalderón,7,2022-01-24,spanish,0.0,38.0,0.0
Tijl en de tijdbom,LaraReims,RubenBrinkman,305,2022-01-21,dutch,0.0,233.0,0.0
Genius Camp,ChrisGrabenstein,KirbyHeyborne,373,2021-11-30,English,0.0,904.0,0.0
The Talisman of Lostland,A.M.Luzzader,JenniferJillAraya,338,2021-11-23,English,0.0,469.0,0.0
Star Wars: The High Republic: A Test of Courage,JustinaIreland,KeylorLeigh,274,2021-05-01,English,4.0,754.0,2.0
The Secret Explorers and the Plant Poachers,SJKing,AyshaKala,74,2021-07-10,English,0.0,410.0,0.0
The Red Slippers,CarolynKeene,JorjeanaMarie,173,2015-12-24,English,5.0,305.0,9.0
Captain Underpants and the Preposterous Plight of the Purple Potty People,DavPilkey,"LenForgione,WinstonBromhead,I'keMitchell",75,2021-01-19,English,5.0,258.0,1.0
The Magician's Secret,CarolynKeene,JorjeanaMarie,162,2015-12-24,English,4.5,305.0,7.0
The Case of the Bizarre Bouquets,NancySpringer,KatherineKellgren,219,2008-11-04,English,4.5,609.0,3.0
Shockwave,WilburSmith,ElliotChapman,356,2022-03-17,English,0.0,1328.0,0.0
The Phantom of Nantucket,CarolynKeene,JorjeanaMarie,196,2015-12-24,English,5.0,305.0,5.0
The Swamp Robber,PaulHutchens,AimeeLilly,164,2018-09-18,English,5.0,234.0,1.0
The Magic Finger,RoaldDahl,KateWinslet,26,2014-11-09,English,4.5,615.0,14.0
The Adventures of Captain Underpants,DavPilkey,"LenForgione,DazjonFreeman,BenD'Amico",60,2018-05-22,English,4.5,258.0,13.0
Secret at Mystic Lake,CarolynKeene,JorjeanaMarie,156,2015-09-28,English,4.5,305.0,14.0
Fight for Dusty Divot,DevinHunter,RamondeOcampo,129,2019-08-01,English,0.0,585.0,0.0
"I Survived the Sinking of the Titanic, 1912",LaurenTarshis,LaurenFortgang,76,2016-03-29,English,5.0,187.0,1.0
Showdown at Widow Creek,FranklinW.Dixon,TimGregory,166,2016-02-02,English,5.0,305.0,3.0
Case of the Missing Marquess,NancySpringer,KatherineKellgren,271,2008-10-22,English,4.5,726.0,3.0
Nightshade,AnthonyHorowitz,RupertDegas,607,2020-05-28,English,4.5,645.0,11.0
Mystery of the Phantom Heist,FranklinW.Dixon,TimGregory,179,2015-02-11,English,5.0,305.0,6.0
Mousse à l'école des pirates,EliseRengot,Jean-PaulBibé,6,2022-02-15,french,0.0,151.0,0.0
Riding Home Through Asia,AlastairHumphreys,AlastairHumphreys,148,2022-11-02,English,0.0,569.0,0.0
The Boy Who Biked the World: Riding the Americas,AlastairHumphreys,AlastairHumphreys,143,2022-11-02,English,0.0,569.0,0.0
El Misterio de la Montaña Azul,"Mattel,RaquelLuqueBenítez-traductor",GermánGijón,18,2022-02-14,spanish,0.0,115.0,0.0
Grand-mère Sucre et Grand-père Chocolat,GigiBigot,GigiBigot,4,2022-11-02,french,0.0,149.0,0.0
